Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
7/11/2017,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Tuesday,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012
7/11/2017,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,RICHMOND,NONE,800 Block of LA PLAYA ST,-122.5100336,37.77230656
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,500 Block of OCTAVIA ST,-122.4245986,37.77689823
7/11/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.4279912,37.78495312
7/11/2017,VEHICLE THEFT,STOLEN TRUCK,Tuesday,CENTRAL,NONE,2200 Block of JONES ST,-122.4161622,37.80196362
7/11/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
7/11/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,BAYVIEW,NONE,1500 Block of SHAFTER AV,-122.389769,37.73056369
7/11/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,BRYANT ST / 3RD ST,-122.3958483,37.78132105
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,NORTHERN,NONE,POST ST / FRANKLIN ST,-122.4232177,37.7864018
7/11/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,SOUTHERN,NONE,BRYANT ST / 4TH ST,-122.3980634,37.77956585
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,PARK,NONE,HAYES ST / SCOTT ST,-122.4361303,37.77520551
7/11/2017,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,4TH ST / KING ST,-122.3941026,37.77638271
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE,3RD ST / 18TH ST,-122.3887421,37.76305011
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,INGLESIDE,NONE,TRUMBULL ST / CONGDON ST,-122.4261457,37.73088254
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,34TH AV / LINCOLN WY,-122.4933284,37.76473124
7/11/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Tuesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
7/11/2017,ROBBERY,ATTEMPTED ROBBERY WITH A KNIFE,Tuesday,MISSION,NONE,600 Block of CHURCH ST,-122.4283093,37.76008719
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,2600 Block of CALIFORNIA ST,-122.437978,37.78843536
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,KIRKHAM ST / LA PLAYA ST,-122.5091093,37.75841172
7/11/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,TARAVAL,NONE,300 Block of FAXON AV,-122.4602905,37.72094512
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE,700 Block of DAVIS ST,-122.3987226,37.79937251
7/11/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
7/11/2017,NON-CRIMINAL,FOUND PROPERTY,Tuesday,RICHMOND,NONE,200 Block of 32ND AV,-122.4926929,37.78510129
7/11/2017,NON-CRIMINAL,LOST PROPERTY,Tuesday,BAYVIEW,NONE,SAN BRUNO AV / SILVER AV,-122.4056103,37.73243886
7/11/2017,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,INGLESIDE,NONE,GENEVA AV / PRAGUE ST,-122.431928,37.71276788
7/11/2017,ASSAULT,FALSE IMPRISONMENT,Tuesday,INGLESIDE,"ARREST, BOOKED",800 Block of MOULTRIE ST,-122.416298,37.73425457
